policy,interpretation,observations,selected_passes,selected_pass_rate,local_calls,remote_calls,remote_call_rate,beneficial_escalations,unnecessary_escalations,harmful_escalations,missed_escalations,unrecoverable_local_failures,selected_transport_failures,oracle_ceiling_passes,oracle_ceiling_rate,median_selected_total_ms,summed_selected_work_ms,reported_remote_cost,remote_calls_with_reported_cost
always_local,strict,200,78,0.39,200,0,0.0,0,0,0,122,0,0,200,1.0,514.3269980326295,122459.21006938443,0,0
always_remote,strict,200,200,1.0,0,200,1.0,122,78,0,0,0,0,200,1.0,1690.077641629614,476651.369323954,0.0066464,200
coarse_class,strict,200,157,0.785,100,100,0.5,79,21,0,43,0,0,200,1.0,1115.4694334836677,302335.60052583925,0.0032302,100
fine_capability,strict,200,171,0.855,100,100,0.5,93,7,0,29,0,0,200,1.0,1115.4694334836677,327977.7005838696,0.0032182,100
